"title","price","product","brand","suburb"
"149.9: Vibe Baldivis",149.9,"Unleaded Petrol","Vibe","Baldivis"
"150.0: Vibe Oakford Truckstop",150,"Unleaded Petrol","Vibe","Oakford"
"150.1: Burk Oakford",150.1,"Unleaded Petrol","Burk","Oakford"
"152.5: Vibe Piara Waters",152.5,"Unleaded Petrol","Vibe","Piara Waters"
"152.7: Costco Perth Airport",152.7,"Unleaded Petrol","Costco","Perth Airport"
"152.7: Costco Casuarina",152.7,"Unleaded Petrol","Costco","Casuarina"
"154.9: Atlas Fuel Forrestdale",154.9,"Unleaded Petrol","Atlas","Forrestdale"
"155.7: Vibe Ascot",155.7,"Unleaded Petrol","Vibe","Ascot"
"155.7: Vibe Wanneroo",155.7,"Unleaded Petrol","Vibe","Wanneroo"
"155.9: Atlas Fuel Kwinana",155.9,"Unleaded Petrol","Atlas","Kwinana Beach"
"155.9: Atlas Fuel Ascot",155.9,"Unleaded Petrol","Atlas","Ascot"
"155.9: Atlas Fuel Wanneroo",155.9,"Unleaded Petrol","Atlas","Wanneroo"
"156.7: Vibe Kwinana OPT",156.7,"Unleaded Petrol","Vibe","Kwinana Beach"
"157.3: Burk Alkimos",157.3,"Unleaded Petrol","Burk","Alkimos"
"157.3: Burk Bassendean",157.3,"Unleaded Petrol","Burk","Bassendean"
"157.3: Burk Landsdale",157.3,"Unleaded Petrol","Burk","Landsdale"
"158.5: Atlas Fuel Forrestfield",158.5,"Unleaded Petrol","Atlas","Forrestfield"
"158.5: X Convenience Alkimos",158.5,"Unleaded Petrol","X Convenience","Alkimos"
"158.9: FastFuel 24/7",158.9,"Unleaded Petrol","FastFuel 24/7","Forrestfield"
"159.2: Vibe Charles St",159.2,"Unleaded Petrol","Vibe","North Perth"
"159.3: Burk Camillo",159.3,"Unleaded Petrol","Burk","Camillo"
"159.3: Burk West Swan",159.3,"Unleaded Petrol","Burk","West Swan"
"159.3: Burk Malaga",159.3,"Unleaded Petrol","Burk","Malaga"
"159.3: Burk Mount Lawley",159.3,"Unleaded Petrol","Burk","Mount Lawley"
"159.5: Atlas Fuel Golden Bay",159.5,"Unleaded Petrol","Atlas","Golden Bay"
"159.9: 7-Eleven Landsdale",159.9,"Unleaded Petrol","7-Eleven","Landsdale"
"159.9: Vibe Subiaco",159.9,"Unleaded Petrol","Vibe","Subiaco"
"159.9: Vibe Bedford",159.9,"Unleaded Petrol","Vibe","Bedford"
"159.9: Liberty Landsdale",159.9,"Unleaded Petrol","Liberty","Landsdale"
"160.3: Solo Morley",160.3,"Unleaded Petrol","Solo","Morley"
"161.2: Liberty Beckenham",161.2,"Unleaded Petrol","Liberty","Beckenham"
"161.2: Atlas Fuel Thornlie",161.2,"Unleaded Petrol","Atlas","Thornlie"
"161.7: Vibe Beechboro",161.7,"Unleaded Petrol","Vibe","Beechboro"
"161.7: Vibe Canning Vale",161.7,"Unleaded Petrol","Vibe","Canning Vale"
"161.7: Vibe Bunbury South",161.7,"Unleaded Petrol","Vibe","South Bunbury"
"161.9: 7-Eleven Thornlie",161.9,"Unleaded Petrol","7-Eleven","Thornlie"
"161.9: Liberty Dalyellup",161.9,"Unleaded Petrol","Liberty","Dalyellup"
"161.9: 7-Eleven Dalyellup",161.9,"Unleaded Petrol","7-Eleven","Dalyellup"
"161.9: Atlas Fuel Caversham",161.9,"Unleaded Petrol","Atlas","Caversham"
"161.9: Solo Riverton",161.9,"Unleaded Petrol","Solo","Riverton"
"162.7: Vibe Spearwood",162.7,"Unleaded Petrol","Vibe","Spearwood"
"162.7: Atlas Fuel Midvale",162.7,"Unleaded Petrol","Atlas","Midvale"
"162.9: OMG Metro Yangebup",162.9,"Unleaded Petrol","OMG Metro","Yangebup"
"163.2: Liberty Cannington",163.2,"Unleaded Petrol","Liberty","Cannington"
"163.2: Atlas Fuel Welshpool",163.2,"Unleaded Petrol","Atlas","Welshpool"
"163.5: Atlas Fuel Geraldton",163.5,"Unleaded Petrol","Atlas","Wonthella"
"163.7: Vibe Welshpool",163.7,"Unleaded Petrol","Vibe","Welshpool"
"163.7: Vibe Armadale",163.7,"Unleaded Petrol","Vibe","Armadale"
"163.7: Vibe Bunbury Central",163.7,"Unleaded Petrol","Vibe","Bunbury"
"163.7: Vibe Morley",163.7,"Unleaded Petrol","Vibe","Morley"
"163.7: Vibe Kwinana Town Centre",163.7,"Unleaded Petrol","Vibe","Kwinana Town Centre"
"163.9: Ampol Foodary Gelorup",163.9,"Unleaded Petrol","Ampol","Gelorup"
"163.9: Liberty Busselton West",163.9,"Unleaded Petrol","Liberty","West Busselton"
"164.7: Vibe Broadwater",164.7,"Unleaded Petrol","Vibe","Broadwater"
"164.8: Petro Fuels Calista",164.8,"Unleaded Petrol","Liberty","Calista"
"164.8: Petro Fuels Bluff Point",164.8,"Unleaded Petrol","Petro Fuels","Bluff Point"
"164.9: 7-Eleven Busselton",164.9,"Unleaded Petrol","7-Eleven","Busselton"
"164.9: Atlas Fuel Stratton",164.9,"Unleaded Petrol","Atlas","Stratton"
"165.0: Shell Bullsbrook",165,"Unleaded Petrol","Shell","Bullsbrook"
"165.1: Burk Broadwater",165.1,"Unleaded Petrol","Burk","Broadwater"
"165.3: Vibe Pinjarra",165.3,"Unleaded Petrol","Vibe","Pinjarra"
"165.3: Liberty West Busselton",165.3,"Unleaded Petrol","Liberty","West Busselton"
"165.4: Maisey Fuels Flores Road",165.4,"Unleaded Petrol","Maisey Fuels","Webberton"
"165.5: Liberty Pinjarra",165.5,"Unleaded Petrol","Liberty","Pinjarra"
"165.5: United Pinjarra Truck Stop",165.5,"Unleaded Petrol","United","Pinjarra"
"165.5: X Convenience Erskine",165.5,"Unleaded Petrol","X Convenience","Erskine"
"165.7: Vibe Bunbury East",165.7,"Unleaded Petrol","Vibe","East Bunbury"
"165.7: Vibe Kalamunda",165.7,"Unleaded Petrol","Vibe","Kalamunda"
"165.9: 7-Eleven Malaga",165.9,"Unleaded Petrol","7-Eleven","Malaga"
"165.9: 7-Eleven Caversham",165.9,"Unleaded Petrol","7-Eleven","Caversham"
"165.9: Ampol Foodary Wonthella",165.9,"Unleaded Petrol","Ampol","Wonthella"
"165.9: EG Ampol Alkimos",165.9,"Unleaded Petrol","EG Ampol","Alkimos"
"165.9: 7-Eleven Golden Bay",165.9,"Unleaded Petrol","7-Eleven","Golden Bay"
"165.9: 7-Eleven Bunbury East",165.9,"Unleaded Petrol","7-Eleven","East Bunbury"
"165.9: Atlas Fuel Jarrahdale",165.9,"Unleaded Petrol","Atlas","Jarrahdale"
"165.9: 7-Eleven Alkimos",165.9,"Unleaded Petrol","7-Eleven","Alkimos"
"165.9: Atlas Fuel Sawyers Valley",165.9,"Unleaded Petrol","Atlas","Sawyers Valley"
"165.9: UGO Mundaring",165.9,"Unleaded Petrol","UGO","Mundaring"
"165.9: 7-Eleven Geraldton North",165.9,"Unleaded Petrol","7-Eleven","Spalding"
"166.9: BP 2go Morrison Road",166.9,"Unleaded Petrol","BP","Midvale"
"166.9: BP Naval Base",166.9,"Unleaded Petrol","BP","Naval Base"
"166.9: BP Jindalee",166.9,"Unleaded Petrol","BP","Jindalee"
"167.5: United Tapping",167.5,"Unleaded Petrol","United","Wanneroo"
"167.5: Geographe Petroleum",167.5,"Unleaded Petrol","Liberty","Busselton"
"167.5: United Naval Base Truck Stop",167.5,"Unleaded Petrol","United","Naval Base"
"167.7: Vibe Mt Helena",167.7,"Unleaded Petrol","Vibe","Mount Helena"
"167.7: Vibe Bullsbrook",167.7,"Unleaded Petrol","Vibe","Bullsbrook"
"167.7: Vibe Bayswater",167.7,"Unleaded Petrol","Vibe","Bayswater"
"167.8: Petro Fuels Bassendean",167.8,"Unleaded Petrol","Petro Fuels","Bassendean"
"168.5: Vibe Siesta Park",168.5,"Unleaded Petrol","Vibe","Kealy"
"168.5: Liberty Tapping",168.5,"Unleaded Petrol","Liberty","Wanneroo"
"168.5: United Vasse Truck Stop",168.5,"Unleaded Petrol","United","Vasse"
"168.5: Liberty Naval Base",168.5,"Unleaded Petrol","Liberty","Naval Base"
"168.7: Lori's Fuel Supply",168.7,"Unleaded Petrol","Independent","Kelmscott"
"168.7: Vibe Nollamara",168.7,"Unleaded Petrol","Vibe","Nollamara"
"168.9: United Maddington Truck Stop",168.9,"Unleaded Petrol","United","Maddington"
"168.9: Shell Reddy Express Vasse",168.9,"Unleaded Petrol","Reddy Express","Vasse"
"168.9: Petro Fuels Westminster",168.9,"Unleaded Petrol","Petro Fuels","Westminster"
"169.0: Phoenix Barlee St",169,"Unleaded Petrol","Independent","Busselton"
"169.3: Vibe Neerabup",169.3,"Unleaded Petrol","Vibe","Neerabup"
"169.3: Vibe Bullsbrook Northlink",169.3,"Unleaded Petrol","Vibe","Bullsbrook"
"169.5: United Albany Central",169.5,"Unleaded Petrol","United","Mount Melville"
"169.5: United Osborne Park",169.5,"Unleaded Petrol","United","Osborne Park"
"169.5: United Ellenbrook",169.5,"Unleaded Petrol","United","Ellenbrook"
"169.5: Liberty Oyster Harbour",169.5,"Unleaded Petrol","Liberty","Bayonet Head"
"169.5: Liberty McKail",169.5,"Unleaded Petrol","Liberty","Mckail"
"169.5: Liberty Banksia Grove",169.5,"Unleaded Petrol","Liberty","Banksia Grove"
"169.5: Shell High Wycombe",169.5,"Unleaded Petrol","Shell","High Wycombe"
"169.5: Liberty Dongara",169.5,"Unleaded Petrol","Liberty","Dongara"
"169.5: United Perth Airport Truck Stop",169.5,"Unleaded Petrol","United","Perth Airport"
"169.5: Liberty Gosnells",169.5,"Unleaded Petrol","Liberty","Gosnells"
"169.5: United Albany Orana",169.5,"Unleaded Petrol","United","Orana"
"169.7: Vibe Port Kennedy",169.7,"Unleaded Petrol","Vibe","Port Kennedy"
"169.7: Vibe Henderson",169.7,"Unleaded Petrol","Vibe","Henderson"
"169.7: Caltex Kelvin Rd",169.7,"Unleaded Petrol","Caltex","Maddington"
"169.8: Petro Fuels Baldivis",169.8,"Unleaded Petrol","Petro Fuels","Baldivis"
"169.8: Petro Fuels Swan View",169.8,"Unleaded Petrol","Petro Fuels","Swan View"
"169.8: Atlas Fresh Trading Co Northam",169.8,"Unleaded Petrol","Atlas","Malabaine"
"169.9: BP Allway",169.9,"Unleaded Petrol","BP","Albany"
"169.9: United Kewdale Truck Stop",169.9,"Unleaded Petrol","United","Kewdale"
"169.9: BP The Lakes Roadhouse",169.9,"Unleaded Petrol","BP","The Lakes"
"169.9: BP Connect Wellington Rd",169.9,"Unleaded Petrol","BP","Morley"
"169.9: BP 2go Noranda",169.9,"Unleaded Petrol","BP","Noranda"
